,name_ft,probability
0,đẹp,0.04566643791651637
1,kém,0.03376985815656182
2,không,0.025889963821682436
3,tuyệt,0.024723759333743964
4,nhanh,0.018397370366420533
5,tốt,0.01780614162994519
6,rất,0.017694666804376768
7,vời,0.015999791540300342
8,ko,0.014110529471933824
9,chắn,0.013843221164866637
10,shop,0.013299444663424033
11,sản,0.010629032431219715
12,phẩm,0.010492177757213571
13,ok,0.010161318517873353
14,chất,0.009541655248400586
15,gói,0.009466163526232352
16,lượng,0.008052845640174675
17,chắc,0.007907598073045785
18,hàng,0.0076448500184612056
19,giao,0.0072497938934941155
